Country,Date,Cumulative_cases,Cumulative_deaths,New_cases,New_deaths
Senegal,12/1/2014,1,0,,
Sierra Leone,12/1/2014,7109,1530,,
Spain,12/1/2014,1,0,,
United States of America,12/1/2014,4,1,,
Guinea,12/3/2014,2164,1327,,
Liberia,12/3/2014,7635,3145,,
Mali,12/3/2014,8,6,,
Nigeria,12/3/2014,20,8,,
Senegal,12/3/2014,1,0,,
Sierra Leone,12/3/2014,7312,1583,,
Spain,12/3/2014,1,0,,
United States of America,12/3/2014,4,1,,
Guinea,12/10/2014,2292,1428,,
Liberia,12/10/2014,7719,3177,,
Mali,12/10/2014,8,6,,
Nigeria,12/10/2014,20,8,,
Senegal,12/10/2014,1,0,,
Sierra Leone,12/10/2014,7897,1768,,
Spain,12/10/2014,1,0,,
United States of America,12/10/2014,4,1,,
Guinea,12/15/2014,2394,1518,,
Liberia,12/15/2014,7797,3290,,
Mali,12/15/2014,8,6,,
Nigeria,12/15/2014,20,8,,
Senegal,12/15/2014,1,0,,
Sierra Leone,12/15/2014,8273,2033,,
Spain,12/15/2014,1,0,,
United States of America,12/15/2014,4,1,,
Guinea,12/17/2014,2416,1525,,
Liberia,12/17/2014,7797,3290,,
Mali,12/17/2014,8,6,,
Nigeria,12/17/2014,20,8,,
Senegal,12/17/2014,1,0,,
Sierra Leone,12/17/2014,8356,2085,,
Spain,12/17/2014,1,0,,
United States of America,12/17/2014,4,1,,
Guinea,12/22/2014,2571,1586,,
Liberia,12/22/2014,7830,3376,,
Mali,12/22/2014,8,6,,
Nigeria,12/22/2014,20,8,,
Senegal,12/22/2014,1,0,,
Sierra Leone,12/22/2014,8939,2556,,
Spain,12/22/2014,1,0,,
United States of America,12/22/2014,4,1,,
Guinea,12/23/2014,2597,1607,,
Liberia,12/23/2014,7830,3376,,
Mali,12/23/2014,8,6,,
Nigeria,12/23/2014,20,8,,
Senegal,12/23/2014,1,0,,
Sierra Leone,12/23/2014,9004,2582,,
Spain,12/23/2014,1,0,,
United States of America,12/23/2014,4,1,,
Guinea,12/24/2014,2597,1607,,
Liberia,12/24/2014,7862,3384,,
Mali,12/24/2014,8,6,,
Nigeria,12/24/2014,20,8,,
Senegal,12/24/2014,1,0,,
Sierra Leone,12/24/2014,9004,2582,,
Spain,12/24/2014,1,0,,
United States of America,12/24/2014,4,1,,
Guinea,12/26/2014,2630,1654,,
Liberia,12/26/2014,7862,3384,,
Mali,12/26/2014,8,6,,
Nigeria,12/26/2014,20,8,,
Senegal,12/26/2014,1,0,,
Sierra Leone,12/26/2014,9203,2655,,
Spain,12/26/2014,1,0,,
United States of America,12/26/2014,4,1,,
Guinea,12/29/2014,2695,1697,,
Liberia,12/29/2014,7977,3413,,
Mali,12/29/2014,8,6,,
Nigeria,12/29/2014,20,8,,
Senegal,12/29/2014,1,0,,
Sierra Leone,12/29/2014,9409,2732,,
Spain,12/29/2014,1,0,,
United States of America,12/29/2014,4,1,,
Guinea,12/30/2014,2706,1708,,
Liberia,12/30/2014,7977,3413,,
Mali,12/30/2014,8,6,,
Nigeria,12/30/2014,20,8,,
Senegal,12/30/2014,1,0,,
Sierra Leone,12/30/2014,9446,2758,,
Spain,12/30/2014,1,0,,
United States of America,12/30/2014,4,1,,
Guinea,12/31/2014,2707,1709,,
Liberia,12/31/2014,8018,3423,,
Mali,12/31/2014,8,6,,
Nigeria,12/31/2014,20,8,,
Senegal,12/31/2014,1,0,,
Sierra Leone,12/31/2014,9446,2758,,
Spain,12/31/2014,1,0,,
United States of America,12/31/2014,4,1,,
Guinea,1/2/2015,2730,1739,,
Liberia,1/2/2015,8018,3423,,
Mali,1/2/2015,8,6,,
Nigeria,1/2/2015,20,8,,
Senegal,1/2/2015,1,0,,
Sierra Leone,1/2/2015,9633,2827,,
Spain,1/2/2015,1,0,,
United Kingdom,1/2/2015,0,0,,
United States of America,1/2/2015,4,1,,
Guinea,1/5/2015,2769,1767,,
Liberia,1/5/2015,8115,3471,,
Mali,1/5/2015,8,6,,
Nigeria,1/5/2015,20,8,,
Senegal,1/5/2015,1,0,,
Sierra Leone,1/5/2015,9772,2915,,
Spain,1/5/2015,1,0,,
United Kingdom,1/5/2015,0,0,,
United States of America,1/5/2015,4,1,,
Guinea,1/6/2015,2775,1781,,
Liberia,1/6/2015,8157,3496,,
Mali,1/6/2015,8,6,,
Nigeria,1/6/2015,20,8,,
Senegal,1/6/2015,1,0,,
Sierra Leone,1/6/2015,9780,2943,,
Spain,1/6/2015,1,0,,
United Kingdom,1/6/2015,1,0,,
United States of America,1/6/2015,4,1,,
Guinea,1/7/2015,2775,1781,,
Liberia,1/7/2015,8157,3496,,
Mali,1/7/2015,8,6,,
Nigeria,1/7/2015,20,8,,
Senegal,1/7/2015,1,0,,
Sierra Leone,1/7/2015,9780,2943,,
Spain,1/7/2015,1,0,,
United Kingdom,1/7/2015,1,0,,
United States of America,1/7/2015,4,1,,
Guinea,1/8/2015,2776,1786,,
Liberia,1/8/2015,8166,3496,,
Mali,1/8/2015,0,6,,
Sierra Leone,1/8/2015,10030,2977,,
United Kingdom,1/8/2015,0,0,,
Guinea,1/9/2015,2793,1797,,
Liberia,1/9/2015,8263,3515,,
Mali,1/9/2015,0,6,,
Sierra Leone,1/9/2015,10030,2977,,
United Kingdom,1/9/2015,0,0,,
Guinea,1/12/2015,2799,1807,,
Liberia,1/12/2015,8278,3515,,
Mali,1/12/2015,0,6,,
Sierra Leone,1/12/2015,10094,3049,,
United Kingdom,1/12/2015,0,0,,
Guinea,1/13/2015,2799,1807,,
Liberia,1/13/2015,8278,3515,,
Mali,1/13/2015,0,6,,
Sierra Leone,1/13/2015,10094,3049,,
United Kingdom,1/13/2015,0,0,,
Guinea,1/14/2015,2806,1814,,
Liberia,1/14/2015,8331,3538,,
Mali,1/14/2015,8,6,,
Nigeria,1/14/2015,20,8,,
Senegal,1/14/2015,1,0,,
Sierra Leone,1/14/2015,10124,3062,,
Spain,1/14/2015,1,0,,
United Kingdom,1/14/2015,1,0,,
United States of America,1/14/2015,4,1,,
Guinea,1/15/2015,2817,1821,,
Liberia,1/15/2015,8362,3556,,
Mali,1/15/2015,8,6,,
Nigeria,1/15/2015,20,8,,
Senegal,1/15/2015,1,0,,
Sierra Leone,1/15/2015,10150,3067,,
Spain,1/15/2015,1,0,,
United Kingdom,1/15/2015,1,0,,
United States of America,1/15/2015,4,1,,
Guinea,1/16/2015,2825,1829,,
Liberia,1/16/2015,8362,3556,,
Mali,1/16/2015,8,6,,
Nigeria,1/16/2015,20,8,,
Senegal,1/16/2015,1,0,,
Sierra Leone,1/16/2015,10186,3083,,
Spain,1/16/2015,1,0,,
United Kingdom,1/16/2015,1,0,,
United States of America,1/16/2015,4,1,,
Guinea,1/19/2015,2873,1875,,
Liberia,1/19/2015,8435,3587,,
Mali,1/19/2015,8,6,,
Nigeria,1/19/2015,20,8,,
Senegal,1/19/2015,1,0,,
Sierra Leone,1/19/2015,10306,3132,,
Spain,1/19/2015,1,0,,
United Kingdom,1/19/2015,1,0,,
United States of America,1/19/2015,4,1,,
Guinea,1/20/2015,2871,1876,,
Liberia,1/20/2015,8478,3605,,
Mali,1/20/2015,8,6,,
Nigeria,1/20/2015,20,8,,
Senegal,1/20/2015,1,0,,
Sierra Leone,1/20/2015,10340,3145,,
Spain,1/20/2015,1,0,,
United Kingdom,1/20/2015,1,0,,
United States of America,1/20/2015,4,1,,
Guinea,1/21/2015,2871,1876,,
Liberia,1/21/2015,8478,3605,,
Mali,1/21/2015,8,6,,
Nigeria,1/21/2015,20,8,,
Senegal,1/21/2015,1,0,,
Sierra Leone,1/21/2015,10340,3145,,
Spain,1/21/2015,1,0,,
United Kingdom,1/21/2015,1,0,,
United States of America,1/21/2015,4,1,,
Guinea,1/22/2015,2873,1879,,
Liberia,1/22/2015,8524,3636,,
Mali,1/22/2015,8,6,,
Nigeria,1/22/2015,20,8,,
Senegal,1/22/2015,1,0,,
Sierra Leone,1/22/2015,10362,3153,,
Spain,1/22/2015,1,0,,
United Kingdom,1/22/2015,1,0,,
United States of America,1/22/2015,4,1,,
Guinea,1/23/2015,2873,1880,,
Liberia,1/23/2015,8524,3636,,
Mali,1/23/2015,8,6,,
Nigeria,1/23/2015,20,8,,
Senegal,1/23/2015,1,0,,
Sierra Leone,1/23/2015,10400,3159,,
Spain,1/23/2015,1,0,,
United Kingdom,1/23/2015,1,0,,
United States of America,1/23/2015,4,1,,
Guinea,1/26/2015,2909,1906,,
Liberia,1/26/2015,8524,3636,,
Mali,1/26/2015,8,6,,
Nigeria,1/26/2015,20,8,,
Senegal,1/26/2015,1,0,,
Sierra Leone,1/26/2015,10491,3195,,
Spain,1/26/2015,1,0,,
United Kingdom,1/26/2015,1,0,,
United States of America,1/26/2015,4,1,,
Guinea,1/27/2015,2917,1910,,
Liberia,1/27/2015,8622,3686,,
Mali,1/27/2015,8,6,,
Nigeria,1/27/2015,20,8,,
Senegal,1/27/2015,1,0,,
Sierra Leone,1/27/2015,10518,3199,,
Spain,1/27/2015,1,0,,
United Kingdom,1/27/2015,1,0,,
United States of America,1/27/2015,4,1,,
Guinea,1/28/2015,2917,1910,,
Liberia,1/28/2015,8622,3686,,
Mali,1/28/2015,8,6,,
Nigeria,1/28/2015,20,8,,
Senegal,1/28/2015,1,0,,
Sierra Leone,1/28/2015,10518,3199,,
Spain,1/28/2015,1,0,,
United Kingdom,1/28/2015,1,0,,
United States of America,1/28/2015,4,1,,
Guinea,1/29/2015,2921,1911,,
Liberia,1/29/2015,8643,3700,,
Mali,1/29/2015,8,6,,
Nigeria,1/29/2015,20,8,,
Senegal,1/29/2015,1,0,,
Sierra Leone,1/29/2015,10537,3207,,
Spain,1/29/2015,1,0,,
United Kingdom,1/29/2015,1,0,,
United States of America,1/29/2015,4,1,,
Guinea,1/30/2015,2920,1913,,
Liberia,1/30/2015,8643,3700,,
Mali,1/30/2015,8,6,,
Nigeria,1/30/2015,20,8,,
Senegal,1/30/2015,1,0,,
Sierra Leone,1/30/2015,10561,3216,,
Spain,1/30/2015,1,0,,
United Kingdom,1/30/2015,1,0,,
United States of America,1/30/2015,4,1,,
Guinea,2/2/2015,2959,1937,,
Liberia,2/2/2015,8668,3710,,
Mali,2/2/2015,8,6,,
Nigeria,2/2/2015,20,8,,
Senegal,2/2/2015,1,0,,
Sierra Leone,2/2/2015,10707,3274,,
Spain,2/2/2015,1,0,,
United Kingdom,2/2/2015,1,0,,
United States of America,2/2/2015,4,1,,
Guinea,2/3/2015,2975,1944,,
Liberia,2/3/2015,8729,3739,,
Mali,2/3/2015,8,6,,
Nigeria,2/3/2015,20,8,,
Senegal,2/3/2015,1,0,,
Sierra Leone,2/3/2015,10740,3276,,
Spain,2/3/2015,1,0,,
United Kingdom,2/3/2015,1,0,,
United States of America,2/3/2015,4,1,,
Guinea,2/4/2015,2975,1944,,
Liberia,2/4/2015,8745,3746,,
Mali,2/4/2015,8,6,,
Nigeria,2/4/2015,20,8,,
Senegal,2/4/2015,1,0,,
Sierra Leone,2/4/2015,10740,3276,,
Spain,2/4/2015,1,0,,
United Kingdom,2/4/2015,1,0,,
United States of America,2/4/2015,4,1,,
Guinea,2/5/2015,2986,1947,,
Liberia,2/5/2015,8745,3746,,
Mali,2/5/2015,8,6,,
Nigeria,2/5/2015,20,8,,
Senegal,2/5/2015,1,0,,
Sierra Leone,2/5/2015,10756,3286,,
Spain,2/5/2015,1,0,,
United Kingdom,2/5/2015,1,0,,
United States of America,2/5/2015,4,1,,
Guinea,2/6/2015,2988,1957,,
Liberia,2/6/2015,8745,3746,,
Mali,2/6/2015,8,6,,
Nigeria,2/6/2015,20,8,,
Senegal,2/6/2015,1,0,,
Sierra Leone,2/6/2015,10792,3301,,
Spain,2/6/2015,1,0,,
United Kingdom,2/6/2015,1,0,,
United States of America,2/6/2015,4,1,,
Guinea,2/10/2015,3044,1995,,
Liberia,2/10/2015,8881,3826,,
Mali,2/10/2015,8,6,,
Nigeria,2/10/2015,20,8,,
Senegal,2/10/2015,1,0,,
Sierra Leone,2/10/2015,10934,3341,,
Spain,2/10/2015,1,0,,
United Kingdom,2/10/2015,1,0,,
United States of America,2/10/2015,4,1,,
Guinea,2/11/2015,3044,1995,,
Liberia,2/11/2015,8881,3826,,
Mali,2/11/2015,8,6,,
Nigeria,2/11/2015,20,8,,
Senegal,2/11/2015,1,0,,
Sierra Leone,2/11/2015,10934,3341,,
Spain,2/11/2015,1,0,,
United Kingdom,2/11/2015,1,0,,
United States of America,2/11/2015,4,1,,
Guinea,2/12/2015,3068,2018,,
Liberia,2/12/2015,8881,3826,,
Mali,2/12/2015,8,6,,
Nigeria,2/12/2015,20,8,,
Senegal,2/12/2015,1,0,,
Sierra Leone,2/12/2015,10954,3350,,
Spain,2/12/2015,1,0,,
United Kingdom,2/12/2015,1,0,,
United States of America,2/12/2015,4,1,,
Guinea,2/13/2015,3081,2032,,
Liberia,2/13/2015,8931,3858,,
Mali,2/13/2015,8,6,,
Nigeria,2/13/2015,20,8,,
Senegal,2/13/2015,1,0,,
Sierra Leone,2/13/2015,10987,3363,,
Spain,2/13/2015,1,0,,
United Kingdom,2/13/2015,1,0,,
United States of America,2/13/2015,4,1,,
Guinea,2/16/2015,3101,2052,,
Liberia,2/16/2015,9007,3900,,
Mali,2/16/2015,8,6,,
Nigeria,2/16/2015,20,8,,
Senegal,2/16/2015,1,0,,
Sierra Leone,2/16/2015,11074,3401,,
Spain,2/16/2015,1,0,,
United Kingdom,2/16/2015,1,0,,
United States of America,2/16/2015,4,1,,
Guinea,2/17/2015,3108,2057,,
Liberia,2/17/2015,9007,3900,,
Mali,2/17/2015,8,6,,
Nigeria,2/17/2015,20,8,,
Senegal,2/17/2015,1,0,,
Sierra Leone,2/17/2015,11103,3408,,
Spain,2/17/2015,1,0,,
United Kingdom,2/17/2015,1,0,,
United States of America,2/17/2015,4,1,,
Guinea,2/18/2015,3108,2057,,
Liberia,2/18/2015,9007,3900,,
Mali,2/18/2015,8,6,,
Nigeria,2/18/2015,20,8,,
Senegal,2/18/2015,1,0,,
Sierra Leone,2/18/2015,11103,3408,,
Spain,2/18/2015,1,0,,
United Kingdom,2/18/2015,1,0,,
United States of America,2/18/2015,4,1,,
Guinea,2/19/2015,3115,2067,,
Liberia,2/19/2015,9096,3947,,
Mali,2/19/2015,8,6,,
Nigeria,2/19/2015,20,8,,
Senegal,2/19/2015,1,0,,
Sierra Leone,2/19/2015,11155,3423,,
Spain,2/19/2015,1,0,,
United Kingdom,2/19/2015,1,0,,
United States of America,2/19/2015,4,1,,
Guinea,2/20/2015,3120,2072,,
Liberia,2/20/2015,9096,3947,,
Mali,2/20/2015,8,6,,
Nigeria,2/20/2015,20,8,,
Senegal,2/20/2015,1,0,,
Sierra Leone,2/20/2015,11155,3423,,
Spain,2/20/2015,1,0,,
United Kingdom,2/20/2015,1,0,,
United States of America,2/20/2015,4,1,,
Guinea,2/23/2015,3155,2086,,
Liberia,2/23/2015,9229,4032,,
Mali,2/23/2015,8,6,,
Nigeria,2/23/2015,20,8,,
Senegal,2/23/2015,1,0,,
Sierra Leone,2/23/2015,11155,3423,,
Spain,2/23/2015,1,0,,
United Kingdom,2/23/2015,1,0,,
United States of America,2/23/2015,4,1,,
Guinea,2/25/2015,3155,2091,,
Liberia,2/25/2015,9238,4037,,
Mali,2/25/2015,8,6,,
Nigeria,2/25/2015,20,8,,
Senegal,2/25/2015,1,0,,
Sierra Leone,2/25/2015,11301,3461,,
Spain,2/25/2015,1,0,,
United Kingdom,2/25/2015,1,0,,
United States of America,2/25/2015,4,1,,
Guinea,2/26/2015,3175,2101,,
Liberia,2/26/2015,9265,4057,,
Mali,2/26/2015,8,6,,
Nigeria,2/26/2015,20,8,,
Senegal,2/26/2015,1,0,,
Sierra Leone,2/26/2015,11341,3479,,
Spain,2/26/2015,1,0,,
United Kingdom,2/26/2015,1,0,,
United States of America,2/26/2015,4,1,,
Guinea,2/27/2015,3190,2113,,
Liberia,2/27/2015,9265,4057,,
Mali,2/27/2015,8,6,,
Nigeria,2/27/2015,20,8,,
Senegal,2/27/2015,1,0,,
Sierra Leone,2/27/2015,11370,3490,,
Spain,2/27/2015,1,0,,
United Kingdom,2/27/2015,1,0,,
United States of America,2/27/2015,4,1,,
Guinea,3/2/2015,3205,2127,,
Liberia,3/2/2015,9265,4057,,
Mali,3/2/2015,8,6,,
Nigeria,3/2/2015,20,8,,
Senegal,3/2/2015,1,0,,
Sierra Leone,3/2/2015,11443,3530,,
Spain,3/2/2015,1,0,,
United Kingdom,3/2/2015,1,0,,
United States of America,3/2/2015,4,1,,
Guinea,3/4/2015,3205,2127,,
Liberia,3/4/2015,9265,4057,,
Mali,3/4/2015,8,6,,
Nigeria,3/4/2015,20,8,,
Senegal,3/4/2015,1,0,,
Sierra Leone,3/4/2015,11443,3530,,
Spain,3/4/2015,1,0,,
United Kingdom,3/4/2015,1,0,,
United States of America,3/4/2015,4,1,,
Guinea,3/5/2015,3237,2141,,
Liberia,3/5/2015,9249,4117,,
Mali,3/5/2015,8,6,,
Nigeria,3/5/2015,20,8,,
Senegal,3/5/2015,1,0,,
Sierra Leone,3/5/2015,11497,3565,,
Spain,3/5/2015,1,0,,
United Kingdom,3/5/2015,1,0,,
United States of America,3/5/2015,4,1,,
Guinea,3/6/2015,3248,2147,,
Liberia,3/6/2015,9249,4117,,
Mali,3/6/2015,8,6,,
Nigeria,3/6/2015,20,8,,
Senegal,3/6/2015,1,0,,
Sierra Leone,3/6/2015,11517,3576,,
Spain,3/6/2015,1,0,,
United Kingdom,3/6/2015,1,0,,
United States of America,3/6/2015,4,1,,
Guinea,3/10/2015,3285,2170,,
Liberia,3/10/2015,9343,4162,,
Mali,3/10/2015,8,6,,
Nigeria,3/10/2015,20,8,,
Senegal,3/10/2015,1,0,,
Sierra Leone,3/10/2015,11619,3629,,
Spain,3/10/2015,1,0,,
United Kingdom,3/10/2015,1,0,,
United States of America,3/10/2015,4,1,,
Guinea,3/11/2015,3285,2170,,
Liberia,3/11/2015,9343,4162,,
Mali,3/11/2015,8,6,,
Nigeria,3/11/2015,20,8,,
Senegal,3/11/2015,1,0,,
Sierra Leone,3/11/2015,11619,3629,,
Spain,3/11/2015,1,0,,
United Kingdom,3/11/2015,1,0,,
United States of America,3/11/2015,4,1,,
Guinea,3/12/2015,3330,2187,,
Liberia,3/12/2015,9343,4162,,
Mali,3/12/2015,8,6,,
Nigeria,3/12/2015,20,8,,
Senegal,3/12/2015,1,0,,
Sierra Leone,3/12/2015,11677,3655,,
Spain,3/12/2015,1,0,,
United Kingdom,3/12/2015,1,0,,
United States of America,3/12/2015,4,1,,
Guinea,3/13/2015,3331,2192,,
Liberia,3/13/2015,9482,4241,,
Mali,3/13/2015,8,6,,
Nigeria,3/13/2015,20,8,,
Senegal,3/13/2015,1,0,,
Sierra Leone,3/13/2015,11696,3663,,
Spain,3/13/2015,1,0,,
United Kingdom,3/13/2015,1,0,,
United States of America,3/13/2015,4,1,,
Guinea,3/16/2015,3373,2216,,
Liberia,3/16/2015,9482,4241,,
Mali,3/16/2015,8,6,,
Nigeria,3/16/2015,20,8,,
Senegal,3/16/2015,1,0,,
Sierra Leone,3/16/2015,11742,3687,,
Spain,3/16/2015,1,0,,
United Kingdom,3/16/2015,1,0,,
United States of America,3/16/2015,4,1,,
Guinea,3/17/2015,3389,2224,,
Liberia,3/17/2015,9526,4264,,
Mali,3/17/2015,8,6,,
Nigeria,3/17/2015,20,8,,
Senegal,3/17/2015,1,0,,
Sierra Leone,3/17/2015,11751,3691,,
Spain,3/17/2015,1,0,,
United Kingdom,3/17/2015,1,0,,
United States of America,3/17/2015,4,1,,
Guinea,3/18/2015,3389,2224,,
Liberia,3/18/2015,9526,4264,,
Mali,3/18/2015,8,6,,
Nigeria,3/18/2015,20,8,,
Senegal,3/18/2015,1,0,,
Sierra Leone,3/18/2015,11751,3691,,
Spain,3/18/2015,1,0,,
United Kingdom,3/18/2015,1,0,,
United States of America,3/18/2015,4,1,,
Guinea,3/20/2015,3404,2241,,
Liberia,3/20/2015,9555,4283,,
Mali,3/20/2015,8,6,,
Nigeria,3/20/2015,20,8,,
Senegal,3/20/2015,1,0,,
Sierra Leone,3/20/2015,11794,3712,,
Spain,3/20/2015,1,0,,
United Kingdom,3/20/2015,1,0,,
United States of America,3/20/2015,4,1,,
Guinea,3/23/2015,3420,2261,,
Liberia,3/23/2015,9593,4296,,
Mali,3/23/2015,8,6,,
Nigeria,3/23/2015,20,8,,
Senegal,3/23/2015,1,0,,
Sierra Leone,3/23/2015,11829,3742,,
Spain,3/23/2015,1,0,,
United Kingdom,3/23/2015,1,0,,
United States of America,3/23/2015,4,1,,
Guinea,3/24/2015,3429,2263,,
Liberia,3/24/2015,9602,4301,,
Mali,3/24/2015,8,6,,
Nigeria,3/24/2015,20,8,,
Senegal,3/24/2015,1,0,,
Sierra Leone,3/24/2015,11841,3747,,
Spain,3/24/2015,1,0,,
United Kingdom,3/24/2015,1,0,,
United States of America,3/24/2015,4,1,,
Guinea,3/25/2015,3429,2263,,
